,Date,Low,High,Close,Open
2885,2016-06-06,576.0667,587.8426,584.0285,576.4004
2884,2016-06-03,572.1096,594.5172,577.3539,580.6912
2883,2016-06-02,576.28,585.6369,578.7842,576.4004
2882,2016-06-01,565.4349,588.3193,576.8771,587.3658
2881,2016-05-31,584.5053,596.901,590.2264,587.8426
2880,2016-05-27,584.5053,599.2848,586.4123,595.9475
2879,2016-05-26,584.0285,600.2383,596.4242,594.5172
2878,2016-05-25,591.1799,613.1107,594.9939,612.634
2877,2016-05-24,601.0297,612.3193,608.8199,604.0523
2876,2016-05-23,603.5756,614.0643,605.4826,612.1572
2875,2016-05-20,605.0059,615.0178,613.1107,609.7734
2874,2016-05-19,604.0523,625.6002,605.0059,620.2621
2873,2016-05-18,615.9713,633.1346,625.5065,629.7973
2872,2016-05-17,630.7508,640.2859,633.1346,638.3789
2871,2016-05-16,614.0643,632.1811,632.1811,616.9248
2870,2016-05-13,606.6095,619.7854,619.7854,612.634
2869,2016-05-12,611.6805,629.7973,613.5875,623.5994
2868,2016-05-11,616.4481,628.367,627.8902,619.3086
2867,2016-05-10,614.541,626.1167,618.3551,615.4945
2866,2016-05-09,607.0148,622.1691,612.1572,622.1691
2865,2016-05-06,594.8767,617.8783,616.4481,599.7615
2864,2016-05-05,574.0166,602.6221,600.715,592.1334
2863,2016-05-04,607.3896,624.0762,615.0178,610.727
2862,2016-05-03,605.9594,636.9642,612.1572,635.9951
2861,2016-04-29,638.3789,655.5422,638.3789,655.5422
2860,2016-04-28,642.6697,662.2168,661.7401,643.1465
2859,2016-04-27,623.8981,634.9463,634.9463,632.1159
2858,2016-04-26,627.3986,639.1918,631.1724,635.418
2857,2016-04-25,634.0028,647.6829,634.9463,643.9091
2856,2016-04-22,641.5505,651.9285,645.3243,649.5698
2855,2016-04-21,640.607,653.3437,652.8719,644.3808
2854,2016-04-20,639.6164,655.7023,645.3243,652.4002
2853,2016-04-19,626.9269,662.3065,657.1175,626.9269
2852,2016-04-18,617.0206,628.3421,627.8703,622.6813
2851,2016-04-15,625.9834,636.3614,627.3986,634.0028
2850,2016-04-14,625.04,638.2484,634.0028,638.2484
2849,2016-04-13,625.6546,636.3614,636.3614,625.9834
2848,2016-04-12,613.6713,627.3986,620.3227,625.9834
2847,2016-04-11,623.6248,632.3816,626.4552,628.3421
2846,2016-04-08,618.4358,635.418,629.2855,621.2661
2845,2016-04-07,614.3388,627.8703,617.964,622.6813
2844,2016-04-06,610.8881,622.2096,620.7944,617.4923
2843,2016-04-05,607.1143,624.2097,615.1337,615.6054
2842,2016-04-04,611.8316,624.5682,622.2096,615.6054
2841,2016-04-01,612.5639,637.7766,625.04,636.8332
2840,2016-03-31,635.8897,651.4567,643.4374,648.6264
2839,2016-03-30,641.2674,659.9479,650.985,642.9656
2838,2016-03-29,632.1159,647.2112,636.3614,639.6635
2837,2016-03-24,626.9269,644.3808,640.1353,635.8897
2836,2016-03-23,633.0593,657.1175,640.607,656.6458
2835,2016-03-22,645.4744,660.8913,655.2306,659.4761
2834,2016-03-21,660.4196,674.5714,662.7782,672.2128
2833,2016-03-18,659.0044,682.5908,675.9866,660.4196
2832,2016-03-17,634.9463,663.25,661.8348,641.5505
2831,2016-03-16,627.8703,641.5505,637.3049,641.5505
2830,2016-03-15,634.9463,643.4374,637.7766,637.7766
2829,2016-03-14,639.6635,658.5327,642.9656,649.0981
2828,2016-03-11,643.5317,654.7588,647.2112,651.4567
2827,2016-03-10,642.9656,661.8348,643.4374,658.0609
2826,2016-03-09,657.1175,667.4955,660.4196,666.5521
2825,2016-03-08,658.0623,679.7604,666.5521,674.0997
2824,2016-03-07,667.071,690.8305,680.7039,682.1191
2823,2016-03-04,673.628,687.3081,681.6474,679.2887
2822,2016-03-03,641.5505,696.2709,675.5149,644.3808
2821,2016-03-02,635.8897,653.8154,641.5505,650.0416
2820,2016-03-01,631.6442,651.4567,644.3808,634.9463
2819,2016-02-29,632.5876,643.4374,640.607,634.4745
2818,2016-02-26,633.5311,650.5133,640.607,634.4745
2817,2016-02-25,621.7379,648.1547,632.1159,623.6248
2816,2016-02-24,606.1708,628.3421,616.5489,623.1531
2815,2016-02-23,603.4655,638.7201,625.9834,620.7944
2814,2016-02-22,607.7747,622.2096,621.2661,610.4164
2813,2016-02-19,601.9253,625.5117,605.6991,621.2661
2812,2016-02-18,619.0254,652.4002,623.6248,642.4939
2811,2016-02-17,593.4342,639.6635,639.6635,595.3211
2810,2016-02-16,576.9237,596.2645,595.7928,583.5279
2809,2016-02-15,560.4132,589.1886,580.2258,584.4713
2808,2016-02-12,551.9221,593.4342,571.7347,566.0739
2807,2016-02-11,477.8607,506.4003,500.032,492.0126
2806,2016-02-10,478.3325,498.1451,498.1451,484.9367
2805,2016-02-09,468.8979,489.1822,483.5215,485.8801
2804,2016-02-08,477.8607,497.6733,485.8801,492.0126
2803,2016-02-05,487.767,510.41,499.0885,497.2016
2802,2016-02-04,481.1628,496.7299,493.4278,492.4843
2801,2016-02-03,475.5021,502.3906,483.9932,500.9754
2800,2016-02-02,492.4843,521.2597,501.4472,521.2597
2799,2016-02-01,512.5988,532.1095,523.6184,528.8074
2798,2016-01-29,507.1079,523.6184,523.6184,518.9011
2797,2016-01-28,504.7493,517.9576,511.8252,509.4665
2796,2016-01-27,504.2775,517.0142,508.9948,511.8252
2795,2016-01-26,505.221,515.1273,512.7686,507.1079
2794,2016-01-25,509.9383,518.4294,513.2404,515.599
2793,2016-01-22,509.4665,520.788,512.2969,514.1838
2792,2016-01-21,484.6631,505.221,504.2775,500.032
2791,2016-01-20,498.1451,510.8817,500.9754,508.5231
2790,2016-01-19,516.5425,525.977,518.9011,517.4859
2789,2016-01-18,506.1644,518.9011,508.0514,511.3535
